Question,Answer
A baker has 11 muffins and bakes 10 more muffins - How many muffins does the baker have now?,twenty-one
Sam has 4 marbles and he loses 11 marbles - How many marbles does Sam have left?,fifteen
A baker has 19 muffins and bakes 12 more muffins - How many muffins does the baker have now?,thirty-one
Sam has 6 marbles and he loses 14 marbles - How many marbles does Sam have left?,twenty
There are 18 pencils in one box and 15 pencils in another box - How many pencils are there altogether?,thirty-three
If 1 apples are added to 1 apples - how many apples are there in total?,two
If 7 apples are added to 10 apples - how many apples are there in total?,seventeen
A train travels 14 miles in the morning and 6 miles in the evening - What is the total distance traveled?,twenty
There are 13 pencils in one box and 10 pencils in another box - How many pencils are there altogether?,twenty-three
There are 16 pencils in one box and 4 pencils in another box - How many pencils are there altogether?,twenty
Sam has 13 marbles and he loses 15 marbles - How many marbles does Sam have left?,twenty-eight
There are 13 pencils in one box and 16 pencils in another box - How many pencils are there altogether?,twenty-nine
A train travels 19 miles in the morning and 7 miles in the evening - What is the total distance traveled?,twenty-six
If a shop sells 3 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,eleven
A store sells 3 candies and 12 candies are left - How many candies were sold in total?,fifteen
If 12 apples are added to 8 apples - how many apples are there in total?,twenty
Sam has 3 marbles and he loses 9 marbles - How many marbles does Sam have left?,twelve
There are 11 pencils in one box and 5 pencils in another box - How many pencils are there altogether?,sixteen
A train travels 9 miles in the morning and 6 miles in the evening - What is the total distance traveled?,fifteen
If 1 apples are added to 2 apples - how many apples are there in total?,three
A baker has 7 muffins and bakes 9 more muffins - How many muffins does the baker have now?,sixteen
A store sells 7 candies and 9 candies are left - How many candies were sold in total?,sixteen
A train travels 14 miles in the morning and 19 miles in the evening - What is the total distance traveled?,thirty-three
If a shop sells 9 toys on Monday and 14 toys on Tuesday - how many toys were sold in total?,twenty-three
If a shop sells 16 toys on Monday and 5 toys on Tuesday - how many toys were sold in total?,twenty-one
If a shop sells 17 toys on Monday and 13 toys on Tuesday - how many toys were sold in total?,thirty
A store sells 13 candies and 10 candies are left - How many candies were sold in total?,twenty-three
Sam has 10 marbles and he loses 19 marbles - How many marbles does Sam have left?,twenty-nine
There are 6 pencils in one box and 20 pencils in another box - How many pencils are there altogether?,twenty-six
Sam has 18 marbles and he loses 6 marbles - How many marbles does Sam have left?,twenty-four
There are 4 pencils in one box and 2 pencils in another box - How many pencils are there altogether?,six
A train travels 16 miles in the morning and 13 miles in the evening - What is the total distance traveled?,twenty-nine
There are 12 pencils in one box and 1 pencils in another box - How many pencils are there altogether?,thirteen
A store sells 10 candies and 2 candies are left - How many candies were sold in total?,twelve
If 13 apples are added to 12 apples - how many apples are there in total?,twenty-five
There are 19 pencils in one box and 13 pencils in another box - How many pencils are there altogether?,thirty-two
There are 17 pencils in one box and 5 pencils in another box - How many pencils are there altogether?,twenty-two
There are 4 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,twenty-three
A baker has 17 muffins and bakes 20 more muffins - How many muffins does the baker have now?,thirty-seven
Sam has 19 marbles and he loses 15 marbles - How many marbles does Sam have left?,thirty-four
Sam has 13 marbles and he loses 18 marbles - How many marbles does Sam have left?,thirty-one
Sam has 9 marbles and he loses 20 marbles - How many marbles does Sam have left?,twenty-nine
Sam has 8 marbles and he loses 19 marbles - How many marbles does Sam have left?,twenty-seven
Sam has 19 marbles and he loses 2 marbles - How many marbles does Sam have left?,twenty-one
A train travels 1 miles in the morning and 13 miles in the evening - What is the total distance traveled?,fourteen
There are 8 pencils in one box and 9 pencils in another box - How many pencils are there altogether?,seventeen
Sam has 19 marbles and he loses 10 marbles - How many marbles does Sam have left?,twenty-nine
A store sells 13 candies and 20 candies are left - How many candies were sold in total?,thirty-three
If 3 apples are added to 5 apples - how many apples are there in total?,eight
A train travels 1 miles in the morning and 17 miles in the evening - What is the total distance traveled?,eighteen
If a shop sells 16 toys on Monday and 18 toys on Tuesday - how many toys were sold in total?,thirty-four
If 12 apples are added to 14 apples - how many apples are there in total?,twenty-six
A baker has 11 muffins and bakes 6 more muffins - How many muffins does the baker have now?,seventeen
If a shop sells 3 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,six
A train travels 12 miles in the morning and 19 miles in the evening - What is the total distance traveled?,thirty-one
A baker has 17 muffins and bakes 15 more muffins - How many muffins does the baker have now?,thirty-two
If a shop sells 18 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,thirty-three
A store sells 11 candies and 7 candies are left - How many candies were sold in total?,eighteen
A baker has 4 muffins and bakes 10 more muffins - How many muffins does the baker have now?,fourteen
A train travels 1 miles in the morning and 3 miles in the evening - What is the total distance traveled?,four
If 14 apples are added to 1 apples - how many apples are there in total?,fifteen
Sam has 13 marbles and he loses 3 marbles - How many marbles does Sam have left?,sixteen
A train travels 5 miles in the morning and 8 miles in the evening - What is the total distance traveled?,thirteen
A train travels 10 miles in the morning and 16 miles in the evening - What is the total distance traveled?,twenty-six
A baker has 17 muffins and bakes 9 more muffins - How many muffins does the baker have now?,twenty-six
A baker has 9 muffins and bakes 11 more muffins - How many muffins does the baker have now?,twenty
Sam has 18 marbles and he loses 20 marbles - How many marbles does Sam have left?,thirty-eight
There are 3 pencils in one box and 11 pencils in another box - How many pencils are there altogether?,fourteen
A store sells 19 candies and 1 candies are left - How many candies were sold in total?,twenty
If 10 apples are added to 12 apples - how many apples are there in total?,twenty-two
A baker has 2 muffins and bakes 19 more muffins - How many muffins does the baker have now?,twenty-one
Sam has 20 marbles and he loses 13 marbles - How many marbles does Sam have left?,thirty-three
A store sells 18 candies and 7 candies are left - How many candies were sold in total?,twenty-five
If 13 apples are added to 10 apples - how many apples are there in total?,twenty-three
Sam has 9 marbles and he loses 4 marbles - How many marbles does Sam have left?,thirteen
If 7 apples are added to 12 apples - how many apples are there in total?,nineteen
A store sells 3 candies and 5 candies are left - How many candies were sold in total?,eight
A store sells 1 candies and 16 candies are left - How many candies were sold in total?,seventeen
There are 11 pencils in one box and 20 pencils in another box - How many pencils are there altogether?,thirty-one
If 8 apples are added to 9 apples - how many apples are there in total?,seventeen
A store sells 14 candies and 1 candies are left - How many candies were sold in total?,fifteen
Sam has 7 marbles and he loses 6 marbles - How many marbles does Sam have left?,thirteen
There are 5 pencils in one box and 5 pencils in another box - How many pencils are there altogether?,ten
If 20 apples are added to 19 apples - how many apples are there in total?,thirty-nine
A train travels 1 miles in the morning and 9 miles in the evening - What is the total distance traveled?,ten
If a shop sells 2 toys on Monday and 18 toys on Tuesday - how many toys were sold in total?,twenty
Sam has 8 marbles and he loses 12 marbles - How many marbles does Sam have left?,twenty
A baker has 8 muffins and bakes 8 more muffins - How many muffins does the baker have now?,sixteen
There are 20 pencils in one box and 13 pencils in another box - How many pencils are there altogether?,thirty-three
Sam has 3 marbles and he loses 7 marbles - How many marbles does Sam have left?,ten
There are 3 pencils in one box and 9 pencils in another box - How many pencils are there altogether?,twelve
A store sells 17 candies and 19 candies are left - How many candies were sold in total?,thirty-six
If a shop sells 8 toys on Monday and 16 toys on Tuesday - how many toys were sold in total?,twenty-four
Sam has 17 marbles and he loses 5 marbles - How many marbles does Sam have left?,twenty-two
A train travels 8 miles in the morning and 10 miles in the evening - What is the total distance traveled?,eighteen
There are 13 pencils in one box and 1 pencils in another box - How many pencils are there altogether?,fourteen
A train travels 13 miles in the morning and 12 miles in the evening - What is the total distance traveled?,twenty-five
Sam has 6 marbles and he loses 17 marbles - How many marbles does Sam have left?,twenty-three
A store sells 9 candies and 19 candies are left - How many candies were sold in total?,twenty-eight
A store sells 1 candies and 8 candies are left - How many candies were sold in total?,nine
A store sells 3 candies and 1 candies are left - How many candies were sold in total?,four
A store sells 19 candies and 8 candies are left - How many candies were sold in total?,twenty-seven
If 18 apples are added to 11 apples - how many apples are there in total?,twenty-nine
If a shop sells 20 toys on Monday and 17 toys on Tuesday - how many toys were sold in total?,thirty-seven
A train travels 12 miles in the morning and 5 miles in the evening - What is the total distance traveled?,seventeen
A train travels 7 miles in the morning and 13 miles in the evening - What is the total distance traveled?,twenty
A store sells 1 candies and 4 candies are left - How many candies were sold in total?,five
There are 1 pencils in one box and 5 pencils in another box - How many pencils are there altogether?,six
A baker has 4 muffins and bakes 10 more muffins - How many muffins does the baker have now?,fourteen
A store sells 16 candies and 17 candies are left - How many candies were sold in total?,thirty-three
If a shop sells 19 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,twenty-two
A store sells 19 candies and 20 candies are left - How many candies were sold in total?,thirty-nine
Sam has 18 marbles and he loses 2 marbles - How many marbles does Sam have left?,twenty
There are 13 pencils in one box and 18 pencils in another box - How many pencils are there altogether?,thirty-one
If a shop sells 8 toys on Monday and 20 toys on Tuesday - how many toys were sold in total?,twenty-eight
There are 15 pencils in one box and 11 pencils in another box - How many pencils are there altogether?,twenty-six
A store sells 5 candies and 15 candies are left - How many candies were sold in total?,twenty
There are 19 pencils in one box and 12 pencils in another box - How many pencils are there altogether?,thirty-one
If 6 apples are added to 3 apples - how many apples are there in total?,nine
A store sells 20 candies and 8 candies are left - How many candies were sold in total?,twenty-eight
A store sells 10 candies and 1 candies are left - How many candies were sold in total?,eleven
There are 18 pencils in one box and 14 pencils in another box - How many pencils are there altogether?,thirty-two
If a shop sells 3 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,eleven
A train travels 4 miles in the morning and 14 miles in the evening - What is the total distance traveled?,eighteen
If a shop sells 11 toys on Monday and 10 toys on Tuesday - how many toys were sold in total?,twenty-one
A baker has 19 muffins and bakes 3 more muffins - How many muffins does the baker have now?,twenty-two
If a shop sells 5 toys on Monday and 1 toys on Tuesday - how many toys were sold in total?,six
Sam has 13 marbles and he loses 11 marbles - How many marbles does Sam have left?,twenty-four
Sam has 14 marbles and he loses 4 marbles - How many marbles does Sam have left?,eighteen
A train travels 1 miles in the morning and 14 miles in the evening - What is the total distance traveled?,fifteen
A store sells 14 candies and 15 candies are left - How many candies were sold in total?,twenty-nine
Sam has 6 marbles and he loses 10 marbles - How many marbles does Sam have left?,sixteen
A store sells 15 candies and 18 candies are left - How many candies were sold in total?,thirty-three
There are 11 pencils in one box and 12 pencils in another box - How many pencils are there altogether?,twenty-three
There are 1 pencils in one box and 18 pencils in another box - How many pencils are there altogether?,nineteen
There are 7 pencils in one box and 17 pencils in another box - How many pencils are there altogether?,twenty-four
If 8 apples are added to 1 apples - how many apples are there in total?,nine
There are 10 pencils in one box and 11 pencils in another box - How many pencils are there altogether?,twenty-one
A store sells 13 candies and 15 candies are left - How many candies were sold in total?,twenty-eight
A store sells 14 candies and 14 candies are left - How many candies were sold in total?,twenty-eight
A train travels 17 miles in the morning and 9 miles in the evening - What is the total distance traveled?,twenty-six
If 18 apples are added to 18 apples - how many apples are there in total?,thirty-six
Sam has 8 marbles and he loses 5 marbles - How many marbles does Sam have left?,thirteen
Sam has 20 marbles and he loses 17 marbles - How many marbles does Sam have left?,thirty-seven
There are 20 pencils in one box and 4 pencils in another box - How many pencils are there altogether?,twenty-four
If 8 apples are added to 20 apples - how many apples are there in total?,twenty-eight
If a shop sells 20 toys on Monday and 18 toys on Tuesday - how many toys were sold in total?,thirty-eight
There are 7 pencils in one box and 11 pencils in another box - How many pencils are there altogether?,eighteen
There are 7 pencils in one box and 2 pencils in another box - How many pencils are there altogether?,nine
If 10 apples are added to 7 apples - how many apples are there in total?,seventeen
There are 16 pencils in one box and 15 pencils in another box - How many pencils are there altogether?,thirty-one
A train travels 4 miles in the morning and 14 miles in the evening - What is the total distance traveled?,eighteen
If a shop sells 6 toys on Monday and 1 toys on Tuesday - how many toys were sold in total?,seven
Sam has 1 marbles and he loses 11 marbles - How many marbles does Sam have left?,twelve
A train travels 1 miles in the morning and 3 miles in the evening - What is the total distance traveled?,four
A store sells 18 candies and 2 candies are left - How many candies were sold in total?,twenty
A baker has 7 muffins and bakes 8 more muffins - How many muffins does the baker have now?,fifteen
Sam has 18 marbles and he loses 19 marbles - How many marbles does Sam have left?,thirty-seven
If a shop sells 14 toys on Monday and 18 toys on Tuesday - how many toys were sold in total?,thirty-two
A train travels 4 miles in the morning and 19 miles in the evening - What is the total distance traveled?,twenty-three
There are 3 pencils in one box and 7 pencils in another box - How many pencils are there altogether?,ten
A store sells 4 candies and 20 candies are left - How many candies were sold in total?,twenty-four
If a shop sells 2 toys on Monday and 9 toys on Tuesday - how many toys were sold in total?,eleven
Sam has 5 marbles and he loses 16 marbles - How many marbles does Sam have left?,twenty-one
A train travels 2 miles in the morning and 5 miles in the evening - What is the total distance traveled?,seven
If a shop sells 16 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,thirty-one
A baker has 11 muffins and bakes 8 more muffins - How many muffins does the baker have now?,nineteen
There are 16 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,twenty-four
A baker has 12 muffins and bakes 19 more muffins - How many muffins does the baker have now?,thirty-one
If 13 apples are added to 14 apples - how many apples are there in total?,twenty-seven
A baker has 4 muffins and bakes 11 more muffins - How many muffins does the baker have now?,fifteen
Sam has 18 marbles and he loses 6 marbles - How many marbles does Sam have left?,twenty-four
If a shop sells 16 toys on Monday and 10 toys on Tuesday - how many toys were sold in total?,twenty-six
A train travels 11 miles in the morning and 19 miles in the evening - What is the total distance traveled?,thirty
If 17 apples are added to 20 apples - how many apples are there in total?,thirty-seven
Sam has 6 marbles and he loses 20 marbles - How many marbles does Sam have left?,twenty-six
There are 13 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,twenty-one
Sam has 19 marbles and he loses 11 marbles - How many marbles does Sam have left?,thirty
A train travels 12 miles in the morning and 8 miles in the evening - What is the total distance traveled?,twenty
A baker has 8 muffins and bakes 9 more muffins - How many muffins does the baker have now?,seventeen
A baker has 1 muffins and bakes 15 more muffins - How many muffins does the baker have now?,sixteen
If 1 apples are added to 20 apples - how many apples are there in total?,twenty-one
A store sells 8 candies and 3 candies are left - How many candies were sold in total?,eleven
If 18 apples are added to 11 apples - how many apples are there in total?,twenty-nine
A baker has 11 muffins and bakes 7 more muffins - How many muffins does the baker have now?,eighteen
A store sells 2 candies and 20 candies are left - How many candies were sold in total?,twenty-two
If 15 apples are added to 18 apples - how many apples are there in total?,thirty-three
A train travels 8 miles in the morning and 12 miles in the evening - What is the total distance traveled?,twenty
A train travels 13 miles in the morning and 4 miles in the evening - What is the total distance traveled?,seventeen
A store sells 4 candies and 10 candies are left - How many candies were sold in total?,fourteen
If a shop sells 10 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,thirteen
A train travels 8 miles in the morning and 10 miles in the evening - What is the total distance traveled?,eighteen
A baker has 4 muffins and bakes 16 more muffins - How many muffins does the baker have now?,twenty
A store sells 11 candies and 15 candies are left - How many candies were sold in total?,twenty-six
A store sells 8 candies and 12 candies are left - How many candies were sold in total?,twenty
A baker has 10 muffins and bakes 3 more muffins - How many muffins does the baker have now?,thirteen
Sam has 11 marbles and he loses 19 marbles - How many marbles does Sam have left?,thirty
A baker has 11 muffins and bakes 3 more muffins - How many muffins does the baker have now?,fourteen
If 11 apples are added to 1 apples - how many apples are there in total?,twelve
A baker has 18 muffins and bakes 4 more muffins - How many muffins does the baker have now?,twenty-two
Sam has 15 marbles and he loses 9 marbles - How many marbles does Sam have left?,twenty-four
A train travels 9 miles in the morning and 10 miles in the evening - What is the total distance traveled?,nineteen
A baker has 15 muffins and bakes 8 more muffins - How many muffins does the baker have now?,twenty-three
If a shop sells 6 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,twenty-one
If a shop sells 8 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,sixteen
If a shop sells 10 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,eighteen
There are 16 pencils in one box and 13 pencils in another box - How many pencils are there altogether?,twenty-nine
A train travels 11 miles in the morning and 16 miles in the evening - What is the total distance traveled?,twenty-seven
If a shop sells 4 toys on Monday and 10 toys on Tuesday - how many toys were sold in total?,fourteen
There are 10 pencils in one box and 7 pencils in another box - How many pencils are there altogether?,seventeen
A baker has 7 muffins and bakes 7 more muffins - How many muffins does the baker have now?,fourteen
A baker has 9 muffins and bakes 15 more muffins - How many muffins does the baker have now?,twenty-four
If 20 apples are added to 17 apples - how many apples are there in total?,thirty-seven
If a shop sells 2 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,seventeen
A store sells 20 candies and 15 candies are left - How many candies were sold in total?,thirty-five
If a shop sells 9 toys on Monday and 5 toys on Tuesday - how many toys were sold in total?,fourteen
There are 14 pencils in one box and 9 pencils in another box - How many pencils are there altogether?,twenty-three
If 1 apples are added to 4 apples - how many apples are there in total?,five
There are 12 pencils in one box and 16 pencils in another box - How many pencils are there altogether?,twenty-eight
A train travels 7 miles in the morning and 11 miles in the evening - What is the total distance traveled?,eighteen
A train travels 1 miles in the morning and 14 miles in the evening - What is the total distance traveled?,fifteen
If 2 apples are added to 8 apples - how many apples are there in total?,ten
A store sells 7 candies and 10 candies are left - How many candies were sold in total?,seventeen
There are 1 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,nine
If a shop sells 20 toys on Monday and 18 toys on Tuesday - how many toys were sold in total?,thirty-eight
If 3 apples are added to 17 apples - how many apples are there in total?,twenty
Sam has 17 marbles and he loses 6 marbles - How many marbles does Sam have left?,twenty-three
There are 3 pencils in one box and 5 pencils in another box - How many pencils are there altogether?,eight
If a shop sells 11 toys on Monday and 7 toys on Tuesday - how many toys were sold in total?,eighteen
A train travels 20 miles in the morning and 8 miles in the evening - What is the total distance traveled?,twenty-eight
Sam has 9 marbles and he loses 9 marbles - How many marbles does Sam have left?,eighteen
A train travels 2 miles in the morning and 13 miles in the evening - What is the total distance traveled?,fifteen
Sam has 3 marbles and he loses 11 marbles - How many marbles does Sam have left?,fourteen
A train travels 13 miles in the morning and 17 miles in the evening - What is the total distance traveled?,thirty
A train travels 1 miles in the morning and 11 miles in the evening - What is the total distance traveled?,twelve
A baker has 9 muffins and bakes 3 more muffins - How many muffins does the baker have now?,twelve
If a shop sells 15 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,twenty-three
If 15 apples are added to 7 apples - how many apples are there in total?,twenty-two
A train travels 1 miles in the morning and 7 miles in the evening - What is the total distance traveled?,eight
If 18 apples are added to 8 apples - how many apples are there in total?,twenty-six
Sam has 19 marbles and he loses 8 marbles - How many marbles does Sam have left?,twenty-seven
A baker has 3 muffins and bakes 16 more muffins - How many muffins does the baker have now?,nineteen
If 10 apples are added to 15 apples - how many apples are there in total?,twenty-five
A baker has 10 muffins and bakes 12 more muffins - How many muffins does the baker have now?,twenty-two
Sam has 10 marbles and he loses 17 marbles - How many marbles does Sam have left?,twenty-seven
A train travels 6 miles in the morning and 12 miles in the evening - What is the total distance traveled?,eighteen
There are 18 pencils in one box and 5 pencils in another box - How many pencils are there altogether?,twenty-three
A store sells 9 candies and 15 candies are left - How many candies were sold in total?,twenty-four
A baker has 3 muffins and bakes 7 more muffins - How many muffins does the baker have now?,ten
If a shop sells 13 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,twenty-one
If a shop sells 9 toys on Monday and 12 toys on Tuesday - how many toys were sold in total?,twenty-one
There are 14 pencils in one box and 12 pencils in another box - How many pencils are there altogether?,twenty-six
A train travels 15 miles in the morning and 10 miles in the evening - What is the total distance traveled?,twenty-five
A store sells 14 candies and 5 candies are left - How many candies were sold in total?,nineteen
A store sells 12 candies and 19 candies are left - How many candies were sold in total?,thirty-one
Sam has 11 marbles and he loses 9 marbles - How many marbles does Sam have left?,twenty
A baker has 13 muffins and bakes 3 more muffins - How many muffins does the baker have now?,sixteen
If a shop sells 20 toys on Monday and 17 toys on Tuesday - how many toys were sold in total?,thirty-seven
A train travels 14 miles in the morning and 7 miles in the evening - What is the total distance traveled?,twenty-one
If a shop sells 11 toys on Monday and 9 toys on Tuesday - how many toys were sold in total?,twenty
A train travels 12 miles in the morning and 10 miles in the evening - What is the total distance traveled?,twenty-two
A store sells 2 candies and 12 candies are left - How many candies were sold in total?,fourteen
A store sells 13 candies and 11 candies are left - How many candies were sold in total?,twenty-four
There are 8 pencils in one box and 10 pencils in another box - How many pencils are there altogether?,eighteen
Sam has 2 marbles and he loses 6 marbles - How many marbles does Sam have left?,eight
If a shop sells 20 toys on Monday and 4 toys on Tuesday - how many toys were sold in total?,twenty-four
A store sells 20 candies and 15 candies are left - How many candies were sold in total?,thirty-five
Sam has 13 marbles and he loses 8 marbles - How many marbles does Sam have left?,twenty-one
If 15 apples are added to 5 apples - how many apples are there in total?,twenty
If 9 apples are added to 19 apples - how many apples are there in total?,twenty-eight
If 5 apples are added to 10 apples - how many apples are there in total?,fifteen
There are 16 pencils in one box and 15 pencils in another box - How many pencils are there altogether?,thirty-one
If a shop sells 17 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,twenty
Sam has 13 marbles and he loses 3 marbles - How many marbles does Sam have left?,sixteen
A store sells 18 candies and 15 candies are left - How many candies were sold in total?,thirty-three
A baker has 16 muffins and bakes 18 more muffins - How many muffins does the baker have now?,thirty-four
If a shop sells 4 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,twelve
A train travels 3 miles in the morning and 1 miles in the evening - What is the total distance traveled?,four
There are 11 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,thirty
Sam has 17 marbles and he loses 10 marbles - How many marbles does Sam have left?,twenty-seven
A train travels 3 miles in the morning and 13 miles in the evening - What is the total distance traveled?,sixteen
If 16 apples are added to 3 apples - how many apples are there in total?,nineteen
If a shop sells 16 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,thirty-one
If 13 apples are added to 14 apples - how many apples are there in total?,twenty-seven
If a shop sells 8 toys on Monday and 18 toys on Tuesday - how many toys were sold in total?,twenty-six
A baker has 15 muffins and bakes 11 more muffins - How many muffins does the baker have now?,twenty-six
If 1 apples are added to 15 apples - how many apples are there in total?,sixteen
Sam has 2 marbles and he loses 5 marbles - How many marbles does Sam have left?,seven
A store sells 3 candies and 16 candies are left - How many candies were sold in total?,nineteen
There are 7 pencils in one box and 1 pencils in another box - How many pencils are there altogether?,eight
If 4 apples are added to 2 apples - how many apples are there in total?,six
If a shop sells 5 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,twenty
A train travels 5 miles in the morning and 12 miles in the evening - What is the total distance traveled?,seventeen
A train travels 11 miles in the morning and 7 miles in the evening - What is the total distance traveled?,eighteen
A store sells 11 candies and 6 candies are left - How many candies were sold in total?,seventeen
A baker has 4 muffins and bakes 3 more muffins - How many muffins does the baker have now?,seven
If 3 apples are added to 19 apples - how many apples are there in total?,twenty-two
Sam has 12 marbles and he loses 14 marbles - How many marbles does Sam have left?,twenty-six
If a shop sells 6 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,nine
If 20 apples are added to 8 apples - how many apples are there in total?,twenty-eight
Sam has 14 marbles and he loses 17 marbles - How many marbles does Sam have left?,thirty-one
Sam has 8 marbles and he loses 13 marbles - How many marbles does Sam have left?,twenty-one
Sam has 20 marbles and he loses 2 marbles - How many marbles does Sam have left?,twenty-two
A baker has 20 muffins and bakes 2 more muffins - How many muffins does the baker have now?,twenty-two
A train travels 18 miles in the morning and 7 miles in the evening - What is the total distance traveled?,twenty-five
A baker has 5 muffins and bakes 3 more muffins - How many muffins does the baker have now?,eight
A train travels 19 miles in the morning and 17 miles in the evening - What is the total distance traveled?,thirty-six
A store sells 3 candies and 14 candies are left - How many candies were sold in total?,seventeen
A store sells 17 candies and 11 candies are left - How many candies were sold in total?,twenty-eight
A store sells 8 candies and 10 candies are left - How many candies were sold in total?,eighteen
If a shop sells 6 toys on Monday and 1 toys on Tuesday - how many toys were sold in total?,seven
If 12 apples are added to 18 apples - how many apples are there in total?,thirty
Sam has 7 marbles and he loses 6 marbles - How many marbles does Sam have left?,thirteen
If 6 apples are added to 8 apples - how many apples are there in total?,fourteen
If a shop sells 8 toys on Monday and 11 toys on Tuesday - how many toys were sold in total?,nineteen
If 17 apples are added to 9 apples - how many apples are there in total?,twenty-six
A train travels 5 miles in the morning and 12 miles in the evening - What is the total distance traveled?,seventeen
A train travels 15 miles in the morning and 14 miles in the evening - What is the total distance traveled?,twenty-nine
A baker has 15 muffins and bakes 15 more muffins - How many muffins does the baker have now?,thirty
A train travels 6 miles in the morning and 6 miles in the evening - What is the total distance traveled?,twelve
A store sells 1 candies and 12 candies are left - How many candies were sold in total?,thirteen
A baker has 13 muffins and bakes 18 more muffins - How many muffins does the baker have now?,thirty-one
If 3 apples are added to 5 apples - how many apples are there in total?,eight
A store sells 14 candies and 19 candies are left - How many candies were sold in total?,thirty-three
A train travels 7 miles in the morning and 2 miles in the evening - What is the total distance traveled?,nine
A store sells 15 candies and 5 candies are left - How many candies were sold in total?,twenty
A store sells 2 candies and 13 candies are left - How many candies were sold in total?,fifteen
A train travels 2 miles in the morning and 15 miles in the evening - What is the total distance traveled?,seventeen
There are 12 pencils in one box and 13 pencils in another box - How many pencils are there altogether?,twenty-five
If a shop sells 7 toys on Monday and 6 toys on Tuesday - how many toys were sold in total?,thirteen
Sam has 13 marbles and he loses 12 marbles - How many marbles does Sam have left?,twenty-five
Sam has 10 marbles and he loses 14 marbles - How many marbles does Sam have left?,twenty-four
A baker has 12 muffins and bakes 19 more muffins - How many muffins does the baker have now?,thirty-one
Sam has 1 marbles and he loses 11 marbles - How many marbles does Sam have left?,twelve
A train travels 1 miles in the morning and 19 miles in the evening - What is the total distance traveled?,twenty
A train travels 2 miles in the morning and 12 miles in the evening - What is the total distance traveled?,fourteen
There are 12 pencils in one box and 18 pencils in another box - How many pencils are there altogether?,thirty
If 2 apples are added to 16 apples - how many apples are there in total?,eighteen
A baker has 18 muffins and bakes 6 more muffins - How many muffins does the baker have now?,twenty-four
If 18 apples are added to 10 apples - how many apples are there in total?,twenty-eight
Sam has 17 marbles and he loses 16 marbles - How many marbles does Sam have left?,thirty-three
A train travels 13 miles in the morning and 8 miles in the evening - What is the total distance traveled?,twenty-one
There are 18 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,twenty-six
A baker has 6 muffins and bakes 19 more muffins - How many muffins does the baker have now?,twenty-five
Sam has 7 marbles and he loses 5 marbles - How many marbles does Sam have left?,twelve
If a shop sells 7 toys on Monday and 10 toys on Tuesday - how many toys were sold in total?,seventeen
A baker has 19 muffins and bakes 14 more muffins - How many muffins does the baker have now?,thirty-three
If 15 apples are added to 10 apples - how many apples are there in total?,twenty-five
If a shop sells 19 toys on Monday and 19 toys on Tuesday - how many toys were sold in total?,thirty-eight
A train travels 9 miles in the morning and 15 miles in the evening - What is the total distance traveled?,twenty-four
Sam has 14 marbles and he loses 15 marbles - How many marbles does Sam have left?,twenty-nine
A baker has 18 muffins and bakes 20 more muffins - How many muffins does the baker have now?,thirty-eight
If a shop sells 15 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,thirty
A store sells 11 candies and 19 candies are left - How many candies were sold in total?,thirty
Sam has 2 marbles and he loses 6 marbles - How many marbles does Sam have left?,eight
If a shop sells 12 toys on Monday and 7 toys on Tuesday - how many toys were sold in total?,nineteen
There are 11 pencils in one box and 2 pencils in another box - How many pencils are there altogether?,thirteen
A train travels 3 miles in the morning and 19 miles in the evening - What is the total distance traveled?,twenty-two
Sam has 5 marbles and he loses 10 marbles - How many marbles does Sam have left?,fifteen
There are 11 pencils in one box and 9 pencils in another box - How many pencils are there altogether?,twenty
A baker has 3 muffins and bakes 9 more muffins - How many muffins does the baker have now?,twelve
A train travels 15 miles in the morning and 20 miles in the evening - What is the total distance traveled?,thirty-five
A store sells 5 candies and 20 candies are left - How many candies were sold in total?,twenty-five
A train travels 1 miles in the morning and 14 miles in the evening - What is the total distance traveled?,fifteen
A store sells 10 candies and 17 candies are left - How many candies were sold in total?,twenty-seven
If 2 apples are added to 11 apples - how many apples are there in total?,thirteen
